idelem,descripcion,accesoAsociado,intensidad,ocupacion,carga,nivelServicio,intensidadSat,error,subarea,st_x,st_y,velocidad,st_x_num,st_y_num,lon,lat
4284,PL. ESPANA N-S(SAN LEONARDO-CUESTA SAN VICENTE),160402,180,8,16,0,2000,N,110003,"439635,038464069","4475072,49601604",,439635.038464069,4475072.49601604,-3.71160227750109,40.424095632483805
4285,CUESTA SAN VICENTE O-E(GRAN VIA-FERRAZ),0,60,10,16,0,850,N,0000,"439636,390335292","4474962,83748095",,439636.390335292,4474962.83748095,-3.7115759323844273,40.42310787766018
4286,PL. ESPANA S-N(REYES-SAN LEONARDO),160301,960,8,36,1,3200,N,110003,"439670,54596838","4475031,4390451",,439670.54596838,4475031.4390451,-3.711179838376455,40.423728348425705
4353,(AFOROS) PRINCESA S-N (SAN LEONARDO-VENTURA RODRIGUEZ),170901,840,7,33,1,3000,N,110009,"439563,578651391","4475222,1593085",,439563.578651391,4475222.1593085,-3.712458833470782,40.4254386778172
10874,FERRAZ N-S (IRUN -CUESTA  SAN VICENTE)(GIRO),0,1020,9,36,1,3400,N,0000,"439438,619671799","4474899,25593077",,439438.619671799,4474899.25593077,-3.713901058000363,40.42252073537554
4313,PL.ESPANA O-E(BAILEN-GRAN VIA),160403,1200,19,49,1,3200,N,110003,"439520,044142072","4474867,08030584",,439520.044142072,4474867.08030584,-3.7129382319974806,40.42223680556548
4316,FERRAZ N-S(IRUN- CUESTA SAN VICENTE)(FRENTE),0,600,12,43,1,1700,N,0000,"439442,624243271","4474902,43678908",,439442.624243271,4474902.43678908,-3.7138541582696956,40.4225496814187
10885,(TACTICA) PL.ESPANA E-O( GRAN VIA -FERRAZ),161804,60,17,20,0,1500,N,110003,"439508,416499277","4474872,15857751",,439508.416499277,4474872.15857751,-3.7130757717559852,40.422281707637104
10875,FERRAZ N-S (P.M 16045+16041 ),161802,1620,10,39,1,5100,N,110003,"439452,725258098","4474886,00420359",,439452.725258098,4474886.00420359,-3.7137335310176067,40.422402384509176
4338,PRINCESA S-N(PL. MONCLOA-Po MORET),170101,1500,16,53,2,3400,N,110009,"439034,416488366","4476201,82526628",,439034.416488366,4476201.82526628,-3.718790391004667,40.43422531367063
4339,PRINCESA N-S(GIRO IZQDA. FERNANDO EL CATOLICO),171703,60,63,65,2,1000,N,110009,"439036,097190302","4476184,37596753",,439036.097190302,4476184.37596753,-3.718768903005711,40.434068246348964
4340,Po MORET  O-E(MARTIN DE LOS HEROS-PRINCESA),170103,720,6,33,1,2500,N,110009,"438860,366720657","4476220,97399566",,438860.366720657,4476220.97399566,-3.720844143677809,40.43438503702111
4341,PRINCESA S-N(MELENDEZ VALDES-PL. MONCLOA),172211,997,6,32,1,3600,N,110009,"439100,55239806","4476080,5602768",,439100.55239806,4476080.5602768,-3.717999080221774,40.43313775331029
3745,PRINCESA S-N(BENITO GUTIERREZ-MELENDEZ VALDES),170201,780,9,42,1,2150,N,110009,"439139,41859701","4476005,31486159",,439139.41859701,4476005.31486159,-3.7175336800493253,40.43246275590391
3746,BENITO GUTIERREZ O-E(TUTOR-PRINCESA),0,60,3,9,0,900,N,0000,"439056,202522633","4475944,21885794",,439056.202522633,4475944.21885794,-3.7185088490896656,40.431906284439066
4343,PRINCESA N-S(ALTAMIRANO-MARQUES DE URQUIJO),170502,540,3,20,0,3000,N,110009,"439213,27905088","4475853,07363982",,439213.27905088,4475853.07363982,-3.716648385569074,40.431096703783396
10646,VENTURA RODRIGUEZ E-O(MARTIN HEROS -J.ALVAREZ MENDIZABAL),173504,480,43,60,2,1600,N,110009,"439421,585627118","4475157,02720971",,439421.585627118,4475157.02720971,-3.7141263991229367,40.42484161250461
4345,MARQUES DE URQUIJO O-E(MARTIN DE LOS HEROS-TUTOR),170503,1380,14,60,2,2600,N,110009,"439166,450267956","4475763,02163158",,439166.450267956,4475763.02163158,-3.7171918167458977,40.43028205371556
4346,PRINCESA S-N(ALBERTO AGUILERA-RRODRIGUEZ SAN PEDRO),0,660,5,29,1,2600,N,0000,"439229,153112277","4475839,11987853",,439229.153112277,4475839.11987853,-3.716459917256553,40.43097216228
4347,MARQUES DE URQUIJO E-O(PRINCESA-TUTOR),0,300,3,16,0,2200,N,0000,"439193,676416239","4475785,14917955",,439193.676416239,4475785.14917955,-3.716872976997848,40.43048337872001
4348,"PRINCESA, 41 N-S(BUEN SUCESO-QUINTANA)",170602,780,10,39,1,2400,N,110009,"439297,368567926","4475689,15820841",,439297.368567926,4475689.15820841,-3.7156414276797154,40.42962622449469
4349,PRINCESA S-N(SEMINARIO DE NOBLES-SERRANO JOVER),170601,780,8,42,1,2100,N,110009,"439398,273295113","4475524,09204406",,439398.273295113,4475524.09204406,-3.714436183709779,40.42814659451505
4350,PRINCESA S-N(SERRANO JOVER-ALBERTO AGUILERA),170501,360,3,20,0,2000,N,110009,"439332,710006187","4475647,02098943",,439332.710006187,4475647.02098943,-3.7152207863047773,40.429249212580615
4351,"PRINCESA, 39 N-S(QUINTANA-REY FRANCISCO)",170902,1020,8,47,1,2400,N,110009,"439366,34389664","4475569,10644652",,439366.34389664,4475569.10644652,-3.7148168662789143,40.428549777063175
4352,EVARISTO SAN MIGUEL O-E(TUTOR-PRINCESA),0,300,10,37,1,1000,N,0000,"439363,416460796","4475417,79030305",,439363.416460796,4475417.79030305,-3.714836942990801,40.42718644247404
4354,(AFOROS) PRINCESA N-S(VENTURA RODRIGUEZ-PL.ESPANA),160302,540,19,42,1,1900,N,110003,"439525,685685714","4475273,35658186",,439525.685685714,4475273.35658186,-3.7129103740827945,40.42589713184621
10645,VENTURA RODRIGUEZ E-O(J.ALVAREZ MENDIZABAL-FERRAZ),173404,420,7,31,1,1600,N,110009,"439387,760049557","4475081,42521029",,439387.760049557,4475081.42521029,-3.7145179144494476,40.42415809299205
4355,VENTURA RODRIGUEZ E-O(PRINCESA-TUTOR),173604,540,6,29,1,2200,N,110009,"439484,30307355","4475293,74895764",,439484.30307355,4475293.74895764,-3.7134001242277783,40.4260778261966
4358,"ROMERO ROBLEDO, 21 E-O(MENDIZABAL-FERRAZ)",171104,240,2,15,0,1800,N,110009,"438815,522347756","4475913,91371498",,438815.522347756,4475913.91371498,-3.721343265097785,40.4316156139763
4359,"FERRAZ, 95  S-N(BENITO GUTIERREZ-ROMERO ROBLEDO)",171101,960,11,38,1,3200,N,110009,"438766,501000706","4475834,32274833",,438766.501000706,4475834.32274833,-3.7219134984213906,40.43089501835096
4360,PINTOR ROSALES N-S(BENITO GUTIERREZ-ALTAMIRANO),171202,360,4,20,0,2200,N,110009,"438699,344272618","4475728,1013645",,438699.344272618,4475728.1013645,-3.7226949405289043,40.42993318586434
4361,MARQUES DE URQUIJO E-O(PINTOR ROSALES-FERRAZ),171303,1380,14,51,2,3200,N,110009,"438822,587745987","4475623,06545859",,438822.587745987,4475623.06545859,-3.721231980745765,40.428996051664704
3565,FERRAZ S-N(BUEN SUCESO-MARQUES DE URQUIJO),171301,420,5,18,0,3000,N,110009,"438976,041650741","4475546,75244273",,438976.041650741,4475546.75244273,-3.719415693780924,40.428319863031625
4363,MARQUES DE URQUIJO E-O(FERRAZ-PINTOR ROSALES),171204,900,14,46,1,2400,N,110009,"438862,858874564","4475649,94757755",,438862.858874564,4475649.94757755,-3.7207598378619644,40.42924117770103
4364,PINTOR ROSALES N-S(BUEN SUCESO-QUINTANA),171402,660,8,31,1,2600,N,110009,"438929,035200166","4475412,08748912",,438929.035200166,4475412.08748912,-3.719956878304308,40.42710329472283
4365,QUINTANA E-O(MARTIN DE LOS HEROS-MENDIZABAL),0,4080,58,214,-4,1100,N,0000,"439177,018334491","4475512,48265357",,439177.018334491,4475512.48265357,-3.717043263181335,40.428025864728035
