idelem,descripcion,accesoAsociado,intensidad,ocupacion,carga,nivelServicio,intensidadSat,error,subarea,st_x,st_y,velocidad,st_x_num,st_y_num,lon,lat,edge_id,edge_dist_m
4284,PL. ESPANA N-S(SAN LEONARDO-CUESTA SAN VICENTE),160302,108,2,7,0,2000,N,110003,"439635,038464069","4475072,49601604",,439635.038464069,4475072.49601604,-3.71160227750109,40.424095632483805,428829834#1,34.83659384696613
4285,CUESTA SAN VICENTE O-E(GRAN VIA-FERRAZ),0,180,3,24,0,850,N,110003,"439636,390335292","4474962,83748095",,439636.390335292,4474962.83748095,-3.7115759323844273,40.42310787766018,542325013,29.24709338198631
4286,PL. ESPANA S-N(REYES-SAN LEONARDO),160301,900,6,32,1,3200,N,110003,"439670,54596838","4475031,4390451",,439670.54596838,4475031.4390451,-3.711179838376455,40.423728348425705,4334161,44.19083840420648
4353,(AFOROS) PRINCESA S-N (SAN LEONARDO-VENTURA RODRIGUEZ),170901,840,4,31,1,3000,N,110009,"439563,578651391","4475222,1593085",,439563.578651391,4475222.1593085,-3.712458833470782,40.4254386778172,71270645#0,0.7694102661919058
10874,FERRAZ N-S (IRUN -CUESTA  SAN VICENTE)(GIRO),0,360,3,13,0,3400,N,110003,"439438,619671799","4474899,25593077",,439438.619671799,4474899.25593077,-3.713901058000363,40.42252073537554,43410331,1.2406558449583005
4313,PL.ESPANA O-E(BAILEN-GRAN VIA),160403,360,4,15,0,3200,N,110003,"439520,044142072","4474867,08030584",,439520.044142072,4474867.08030584,-3.7129382319974806,40.42223680556548,1008751309,41.066033934248686
4316,FERRAZ N-S(IRUN- CUESTA SAN VICENTE)(FRENTE),0,324,5,23,0,1700,N,110003,"439442,624243271","4474902,43678908",,439442.624243271,4474902.43678908,-3.713854158269696,40.4225496814187,43410331,3.8705989313792024
10885,(TACTICA) PL.ESPANA E-O( GRAN VIA -FERRAZ),161804,252,92,94,3,850,N,110003,"439508,416499277","4474872,15857751",,439508.416499277,4474872.15857751,-3.713075771755985,40.422281707637104,1008751309,37.719811594698406
10875,FERRAZ N-S (P.M 16045+16041 ),173402,756,3,18,0,5100,N,110009,"439452,725258098","4474886,00420359",,439452.725258098,4474886.00420359,-3.713733531017607,40.422402384509176,43410331,0.9173336678984468
4338,PRINCESA S-N(PL. MONCLOA-Po MORET),170101,720,7,27,1,3400,N,110009,"439034,416488366","4476201,82526628",,439034.416488366,4476201.82526628,-3.718790391004667,40.43422531367063,131447320#0,36.585715379609134
4339,PRINCESA N-S(GIRO IZQDA. FERNANDO EL CATOLICO),171703,40,48,50,1,1000,N,110009,"439036,097190302","4476184,37596753",,439036.097190302,4476184.37596753,-3.718768903005711,40.43406824634896,131447320#0,22.02875067865295
4340,Po MORET  O-E(MARTIN DE LOS HEROS-PRINCESA),170103,200,1,9,0,2500,N,110009,"438860,366720657","4476220,97399566",,438860.366720657,4476220.97399566,-3.720844143677809,40.43438503702111,-77603044,49.89335971394129
